drinks			12
kaffi	coffee	커피
götuvígi	barricade	바리케이드
spilling	corruption	부패
valdarán	coup	쿠데타
kappræður	debate	토론
mótmæli	demonstration	시위
steypa af stóli	dethrone	폐위시키다
sendiráð	embassy	대사관
spámaður	fortune teller	점쟁이
ríkisstjórn	government	정부
ég snerti	I touch	저는 만져요
ég kýs	I vote	저는 투표해요
þing	parliament	국회
krafa	petition	탄원서
óeirðir	riot	폭동
óeirðalögreglan	riot police	폭동 진압 경찰
skattur	tax	세금
religion			17
engill	angel	천사
búddatrú	buddhism	불교
kristni	christianity	기독교
djöfull	devil	악마
guð	god	신
himnaríki	heaven	천국
hindúatrú	hinduism	힌두교
ég bið	I pray	저는 기도해요
íslam	islam	이슬람교
gyðingdómur	judaism	유대교
hugleiðsla	meditation	명상
munkur	monk	스님
moska	mosque	모스크
nunna	nun	수녀
spámaður	prophet	선지자
dýrlingur	saint	성자
taóismi	taoism	도교
prison			17
handtaka	arrest	체포하다
lögreglukylfa	baton	경찰봉
eftirför	chase	쫓다
fingrafar	fingerprint	지문
glæpamenn	gangsters	깡패
handjárn	handcuffs	수갑
peningaþvætti	money laundering	돈세탁
dómari	judge	판사
kviðdómur	jury	배심원단
lög	law	법
að brjótast úr fangelsi	prison break	탈옥
fangaklefi	prison cell	유치장
fangelsisvörður	prison guard	간수
fangi	prisoner	죄수
hinir grunuðu	suspects	용의자
hryðjuverkamaður	terrorist	테러범
eftirlýstur	wanted	수배 중인
